id,course_id,instructor_id,start_time,end_time,is_active
1,1,1,2025-10-01T12:00:00,2025-10-01T14:00:00,False
2,1,1,2025-10-08T10:00:00,2025-10-08T12:00:00,False
3,1,1,2025-10-15T08:00:00,2025-10-15T10:00:00,False
4,1,1,2025-10-22T10:00:00,2025-10-22T12:00:00,True
5,2,10,2025-10-01T14:00:00,2025-10-01T16:00:00,False
6,2,10,2025-10-08T14:00:00,2025-10-08T16:00:00,False
7,2,10,2025-10-15T12:00:00,2025-10-15T14:00:00,False
8,2,10,2025-10-22T08:00:00,2025-10-22T10:00:00,False
9,2,10,2025-10-29T10:00:00,2025-10-29T12:00:00,False
10,3,3,2025-10-01T12:00:00,2025-10-01T14:00:00,False
11,3,3,2025-10-08T08:00:00,2025-10-08T10:00:00,False
12,3,3,2025-10-15T14:00:00,2025-10-15T16:00:00,False
13,3,3,2025-10-22T14:00:00,2025-10-22T16:00:00,False
14,3,3,2025-10-29T14:00:00,2025-10-29T16:00:00,False
15,3,3,2025-11-05T10:00:00,2025-11-05T12:00:00,False
16,3,3,2025-11-12T12:00:00,2025-11-12T14:00:00,False
17,4,16,2025-10-01T14:00:00,2025-10-01T16:00:00,False
18,4,16,2025-10-08T10:00:00,2025-10-08T12:00:00,False
19,4,16,2025-10-15T08:00:00,2025-10-15T10:00:00,False
20,4,16,2025-10-22T08:00:00,2025-10-22T10:00:00,False
21,4,16,2025-10-29T08:00:00,2025-10-29T10:00:00,False
22,4,16,2025-11-05T10:00:00,2025-11-05T12:00:00,False
23,4,16,2025-11-12T10:00:00,2025-11-12T12:00:00,False
24,5,2,2025-10-01T10:00:00,2025-10-01T12:00:00,False
25,5,2,2025-10-08T08:00:00,2025-10-08T10:00:00,False
26,5,2,2025-10-15T12:00:00,2025-10-15T14:00:00,False
27,5,2,2025-10-22T14:00:00,2025-10-22T16:00:00,False
28,6,9,2025-10-01T14:00:00,2025-10-01T16:00:00,False
29,6,9,2025-10-08T14:00:00,2025-10-08T16:00:00,False
30,6,9,2025-10-15T12:00:00,2025-10-15T14:00:00,False
31,6,9,2025-10-22T12:00:00,2025-10-22T14:00:00,False
32,7,13,2025-10-01T10:00:00,2025-10-01T12:00:00,False
33,7,13,2025-10-08T10:00:00,2025-10-08T12:00:00,False
34,7,13,2025-10-15T10:00:00,2025-10-15T12:00:00,False
35,7,13,2025-10-22T10:00:00,2025-10-22T12:00:00,False
36,7,13,2025-10-29T12:00:00,2025-10-29T14:00:00,False
37,7,13,2025-11-05T08:00:00,2025-11-05T10:00:00,False
38,7,13,2025-11-12T12:00:00,2025-11-12T14:00:00,False
39,8,17,2025-10-01T14:00:00,2025-10-01T16:00:00,False
40,8,17,2025-10-08T10:00:00,2025-10-08T12:00:00,False
41,8,17,2025-10-15T14:00:00,2025-10-15T16:00:00,False
42,8,17,2025-10-22T08:00:00,2025-10-22T10:00:00,False
43,8,17,2025-10-29T10:00:00,2025-10-29T12:00:00,True
44,9,6,2025-10-01T10:00:00,2025-10-01T12:00:00,False
45,9,6,2025-10-08T10:00:00,2025-10-08T12:00:00,False
46,9,6,2025-10-15T08:00:00,2025-10-15T10:00:00,False
47,9,6,2025-10-22T10:00:00,2025-10-22T12:00:00,False
48,9,6,2025-10-29T14:00:00,2025-10-29T16:00:00,False
49,9,6,2025-11-05T08:00:00,2025-11-05T10:00:00,False
50,9,6,2025-11-12T12:00:00,2025-11-12T14:00:00,False
51,9,6,2025-11-19T10:00:00,2025-11-19T12:00:00,False
52,10,16,2025-10-01T08:00:00,2025-10-01T10:00:00,False
53,10,16,2025-10-08T10:00:00,2025-10-08T12:00:00,False
54,10,16,2025-10-15T08:00:00,2025-10-15T10:00:00,False
55,10,16,2025-10-22T08:00:00,2025-10-22T10:00:00,False
56,10,16,2025-10-29T14:00:00,2025-10-29T16:00:00,False
57,10,16,2025-11-05T14:00:00,2025-11-05T16:00:00,False
58,10,16,2025-11-12T12:00:00,2025-11-12T14:00:00,False
59,11,4,2025-10-01T10:00:00,2025-10-01T12:00:00,False
60,11,4,2025-10-08T12:00:00,2025-10-08T14:00:00,False
61,11,4,2025-10-15T14:00:00,2025-10-15T16:00:00,False
62,11,4,2025-10-22T14:00:00,2025-10-22T16:00:00,False
63,11,4,2025-10-29T08:00:00,2025-10-29T10:00:00,False
64,12,4,2025-10-01T12:00:00,2025-10-01T14:00:00,False
65,12,4,2025-10-08T08:00:00,2025-10-08T10:00:00,False
66,12,4,2025-10-15T12:00:00,2025-10-15T14:00:00,False
67,12,4,2025-10-22T12:00:00,2025-10-22T14:00:00,True
68,13,5,2025-10-01T14:00:00,2025-10-01T16:00:00,False
69,13,5,2025-10-08T10:00:00,2025-10-08T12:00:00,False
70,13,5,2025-10-15T12:00:00,2025-10-15T14:00:00,False
71,13,5,2025-10-22T08:00:00,2025-10-22T10:00:00,False
72,13,5,2025-10-29T10:00:00,2025-10-29T12:00:00,False
73,13,5,2025-11-05T08:00:00,2025-11-05T10:00:00,True
74,14,2,2025-10-01T10:00:00,2025-10-01T12:00:00,False
75,14,2,2025-10-08T12:00:00,2025-10-08T14:00:00,False
76,14,2,2025-10-15T14:00:00,2025-10-15T16:00:00,False
77,14,2,2025-10-22T12:00:00,2025-10-22T14:00:00,False
78,14,2,2025-10-29T08:00:00,2025-10-29T10:00:00,False
79,14,2,2025-11-05T14:00:00,2025-11-05T16:00:00,True
80,15,5,2025-10-01T12:00:00,2025-10-01T14:00:00,False
81,15,5,2025-10-08T12:00:00,2025-10-08T14:00:00,False
82,15,5,2025-10-15T12:00:00,2025-10-15T14:00:00,False
83,15,5,2025-10-22T08:00:00,2025-10-22T10:00:00,False
84,15,5,2025-10-29T08:00:00,2025-10-29T10:00:00,False
85,15,5,2025-11-05T08:00:00,2025-11-05T10:00:00,False
86,15,5,2025-11-12T10:00:00,2025-11-12T12:00:00,False
87,16,15,2025-10-01T12:00:00,2025-10-01T14:00:00,False
88,16,15,2025-10-08T10:00:00,2025-10-08T12:00:00,False
89,16,15,2025-10-15T12:00:00,2025-10-15T14:00:00,False
90,16,15,2025-10-22T10:00:00,2025-10-22T12:00:00,False
91,16,15,2025-10-29T14:00:00,2025-10-29T16:00:00,False
92,16,15,2025-11-05T08:00:00,2025-11-05T10:00:00,False
93,17,9,2025-10-01T08:00:00,2025-10-01T10:00:00,False
94,17,9,2025-10-08T08:00:00,2025-10-08T10:00:00,False
95,17,9,2025-10-15T10:00:00,2025-10-15T12:00:00,False
96,17,9,2025-10-22T10:00:00,2025-10-22T12:00:00,False
97,17,9,2025-10-29T14:00:00,2025-10-29T16:00:00,False
98,18,16,2025-10-01T12:00:00,2025-10-01T14:00:00,False
99,18,16,2025-10-08T12:00:00,2025-10-08T14:00:00,False
100,18,16,2025-10-15T14:00:00,2025-10-15T16:00:00,False
101,18,16,2025-10-22T10:00:00,2025-10-22T12:00:00,False
102,19,18,2025-10-01T08:00:00,2025-10-01T10:00:00,False
103,19,18,2025-10-08T10:00:00,2025-10-08T12:00:00,False
104,19,18,2025-10-15T10:00:00,2025-10-15T12:00:00,False
105,19,18,2025-10-22T14:00:00,2025-10-22T16:00:00,False
106,19,18,2025-10-29T12:00:00,2025-10-29T14:00:00,False
107,20,18,2025-10-01T12:00:00,2025-10-01T14:00:00,False
108,20,18,2025-10-08T12:00:00,2025-10-08T14:00:00,False
109,20,18,2025-10-15T14:00:00,2025-10-15T16:00:00,False
110,20,18,2025-10-22T08:00:00,2025-10-22T10:00:00,False
111,20,18,2025-10-29T14:00:00,2025-10-29T16:00:00,False
112,20,18,2025-11-05T08:00:00,2025-11-05T10:00:00,False
113,20,18,2025-11-12T14:00:00,2025-11-12T16:00:00,False
114,20,18,2025-11-19T14:00:00,2025-11-19T16:00:00,False
115,21,6,2025-10-01T08:00:00,2025-10-01T10:00:00,False
116,21,6,2025-10-08T10:00:00,2025-10-08T12:00:00,False
117,21,6,2025-10-15T12:00:00,2025-10-15T14:00:00,False
118,21,6,2025-10-22T10:00:00,2025-10-22T12:00:00,False
119,21,6,2025-10-29T12:00:00,2025-10-29T14:00:00,False
120,21,6,2025-11-05T08:00:00,2025-11-05T10:00:00,False
121,21,6,2025-11-12T08:00:00,2025-11-12T10:00:00,False
122,21,6,2025-11-19T10:00:00,2025-11-19T12:00:00,False
123,22,11,2025-10-01T14:00:00,2025-10-01T16:00:00,False
124,22,11,2025-10-08T08:00:00,2025-10-08T10:00:00,False
125,22,11,2025-10-15T10:00:00,2025-10-15T12:00:00,False
126,22,11,2025-10-22T14:00:00,2025-10-22T16:00:00,False
127,22,11,2025-10-29T14:00:00,2025-10-29T16:00:00,False
128,22,11,2025-11-05T14:00:00,2025-11-05T16:00:00,False
129,22,11,2025-11-12T14:00:00,2025-11-12T16:00:00,False
130,23,17,2025-10-01T10:00:00,2025-10-01T12:00:00,False
131,23,17,2025-10-08T08:00:00,2025-10-08T10:00:00,False
132,23,17,2025-10-15T10:00:00,2025-10-15T12:00:00,False
133,23,17,2025-10-22T10:00:00,2025-10-22T12:00:00,False
134,23,17,2025-10-29T08:00:00,2025-10-29T10:00:00,False
135,24,11,2025-10-01T14:00:00,2025-10-01T16:00:00,False
136,24,11,2025-10-08T12:00:00,2025-10-08T14:00:00,False
137,24,11,2025-10-15T12:00:00,2025-10-15T14:00:00,False
138,24,11,2025-10-22T10:00:00,2025-10-22T12:00:00,False
139,24,11,2025-10-29T12:00:00,2025-10-29T14:00:00,False
140,24,11,2025-11-05T12:00:00,2025-11-05T14:00:00,False
141,24,11,2025-11-12T08:00:00,2025-11-12T10:00:00,False
142,24,11,2025-11-19T10:00:00,2025-11-19T12:00:00,True
143,25,2,2025-10-01T10:00:00,2025-10-01T12:00:00,False
144,25,2,2025-10-08T12:00:00,2025-10-08T14:00:00,False
