id,user_id,capability_name,granted_by,expires_at,created_at
1,21,manage_attendance,1,,2026-02-26T00:00:00
2,31,manage_attendance,1,,2025-12-15T00:00:00
3,9,manage_devices,2,,2026-01-31T00:00:00
4,38,financial_oversight,1,,2026-01-01T00:00:00
5,40,manage_attendance,2,,2026-01-11T00:00:00
6,32,view_monitoring,2,,2025-12-27T00:00:00
7,27,financial_oversight,1,,2025-12-16T00:00:00
8,20,financial_oversight,2,,2026-01-19T00:00:00
9,34,iot_security,1,,2025-11-23T00:00:00
10,14,iot_security,1,,2025-10-19T00:00:00
11,13,manage_grades,2,,2025-12-30T00:00:00
12,37,manage_attendance,2,,2025-10-08T00:00:00
13,3,iot_security,2,,2025-11-11T00:00:00
14,18,iot_security,2,,2025-12-20T00:00:00
15,40,financial_oversight,2,,2025-11-10T00:00:00
