id,assessment_id,student_id,raw_score,instructor_remarks,is_flagged,is_absent,created_by_doctor_id
1,1,2,55.1,,False,False,19
2,1,3,84.8,,False,False,19
3,1,4,61.6,,False,False,8
4,1,9,43.8,,False,False,3
5,1,10,0.0,,False,True,19
6,1,32,0.0,,False,True,14
7,1,51,69.1,,False,False,8
8,1,52,0.0,,False,True,18
9,1,56,67.5,,False,False,9
10,1,62,100.0,,False,False,4
11,1,75,79.2,,False,False,8
12,1,94,70.5,,False,False,1
13,1,103,81.3,,False,False,15
14,1,113,62.6,,False,False,19
15,1,142,63.6,,False,False,15
16,2,2,94.9,,False,False,6
17,2,3,35.6,,False,False,19
18,2,4,82.4,,False,False,13
19,2,9,0.0,,False,True,8
20,2,10,63.0,,False,False,6
21,2,32,59.8,,False,False,5
22,2,51,55.0,,False,False,6
23,2,52,67.8,,False,False,15
24,2,56,64.2,,False,False,5
25,2,62,0.0,,False,True,3
26,2,75,57.5,,False,False,8
27,2,94,52.4,,False,False,6
28,2,103,30.7,,False,False,6
29,2,113,52.0,,False,False,6
30,2,142,55.8,,False,False,17
31,3,2,67.7,,False,False,16
32,3,3,100.0,,False,False,19
33,3,4,53.9,,False,False,4
34,3,9,46.6,,False,False,12
35,3,10,52.1,,False,False,19
36,3,32,67.8,,False,False,15
37,3,51,75.6,,False,False,4
38,3,52,78.1,,False,False,2
39,3,56,79.9,,False,False,8
40,3,62,82.4,,False,False,20
41,3,75,60.0,,False,False,13
42,3,94,100.0,,False,False,19
43,3,103,58.6,,False,False,17
44,3,113,67.0,,False,False,10
45,3,142,88.3,,False,False,17
46,4,2,75.2,,False,False,16
47,4,3,24.7,,False,False,18
48,4,4,65.1,,False,False,5
49,4,9,80.5,,False,False,8
50,4,10,40.8,,False,False,2
51,4,32,78.5,,False,False,16
52,4,51,72.0,,False,False,5
53,4,52,86.3,,False,False,4
54,4,56,52.5,,False,False,12
55,4,62,82.9,,False,False,1
56,4,75,67.9,,False,False,1
57,4,94,96.8,,False,False,2
58,4,103,100.0,,False,False,5
59,4,113,92.7,,False,False,15
60,4,142,73.6,,False,False,5
61,5,2,100.0,,False,False,12
62,5,3,75.9,,False,False,5
63,5,4,48.7,,False,False,2
64,5,9,64.3,,False,False,1
65,5,10,78.7,,False,False,12
66,5,32,79.9,,False,False,15
67,5,51,44.7,,False,False,19
68,5,52,45.3,,False,False,5
69,5,56,58.9,,False,False,6
70,5,62,74.6,,False,False,3
71,5,75,76.9,,False,False,20
72,5,94,0.0,,False,True,19
73,5,103,67.5,,False,False,4
74,5,113,50.0,,True,False,8
75,5,142,96.3,,False,False,9
76,6,2,45.7,,False,False,6
77,6,3,88.4,,False,False,7
78,6,4,78.3,,False,False,1
79,6,10,88.0,,False,False,18
