id,student_id,session_id,instructor_id,timestamp,status
1,9,1,1,2025-10-01T12:04:00,present
2,10,1,1,2025-10-01T12:00:00,absent
3,51,1,1,2025-10-01T12:13:00,late
4,52,1,1,2025-10-01T12:22:00,present
5,94,1,1,2025-10-01T12:15:00,present
6,103,1,1,2025-10-01T12:27:00,present
7,207,1,1,2025-10-01T12:04:00,present
8,251,1,1,2025-10-01T12:02:00,present
9,271,1,1,2025-10-01T12:00:00,present
10,310,1,1,2025-10-01T12:26:00,present
11,363,1,1,2025-10-01T12:24:00,late
12,379,1,1,2025-10-01T12:23:00,present
13,2,2,1,2025-10-08T10:30:00,present
14,9,2,1,2025-10-08T10:13:00,late
15,10,2,1,2025-10-08T10:14:00,present
16,51,2,1,2025-10-08T10:22:00,present
17,103,2,1,2025-10-08T10:19:00,present
18,207,2,1,2025-10-08T10:16:00,present
19,251,2,1,2025-10-08T10:12:00,late
20,271,2,1,2025-10-08T10:21:00,present
21,310,2,1,2025-10-08T10:14:00,present
22,363,2,1,2025-10-08T10:26:00,late
23,379,2,1,2025-10-08T10:18:00,late
24,387,2,1,2025-10-08T10:22:00,late
25,2,3,1,2025-10-15T08:29:00,present
26,9,3,1,2025-10-15T08:02:00,present
27,10,3,1,2025-10-15T08:30:00,absent
28,52,3,1,2025-10-15T08:19:00,late
29,94,3,1,2025-10-15T08:26:00,present
30,103,3,1,2025-10-15T08:17:00,present
31,207,3,1,2025-10-15T08:02:00,present
32,251,3,1,2025-10-15T08:14:00,absent
33,271,3,1,2025-10-15T08:20:00,present
34,310,3,1,2025-10-15T08:26:00,present
35,363,3,1,2025-10-15T08:01:00,present
36,379,3,1,2025-10-15T08:20:00,present
37,387,3,1,2025-10-15T08:08:00,late
38,10,4,1,2025-10-22T10:27:00,present
39,51,4,1,2025-10-22T10:07:00,late
40,52,4,1,2025-10-22T10:17:00,absent
41,94,4,1,2025-10-22T10:00:00,present
42,103,4,1,2025-10-22T10:09:00,present
43,207,4,1,2025-10-22T10:06:00,present
44,251,4,1,2025-10-22T10:01:00,late
45,271,4,1,2025-10-22T10:02:00,present
46,310,4,1,2025-10-22T10:18:00,present
47,379,4,1,2025-10-22T10:15:00,late
48,3,5,10,2025-10-01T14:30:00,present
49,10,5,10,2025-10-01T14:11:00,absent
50,52,5,10,2025-10-01T14:30:00,present
51,113,5,10,2025-10-01T14:06:00,present
52,142,5,10,2025-10-01T14:12:00,present
53,171,5,10,2025-10-01T14:04:00,late
54,183,5,10,2025-10-01T14:03:00,present
55,202,5,10,2025-10-01T14:28:00,late
56,239,5,10,2025-10-01T14:03:00,absent
57,241,5,10,2025-10-01T14:24:00,present
58,255,5,10,2025-10-01T14:18:00,absent
59,271,5,10,2025-10-01T14:15:00,present
60,300,5,10,2025-10-01T14:27:00,present
61,387,5,10,2025-10-01T14:21:00,present
62,3,6,10,2025-10-08T14:28:00,late
63,10,6,10,2025-10-08T14:30:00,present
64,52,6,10,2025-10-08T14:28:00,present
65,113,6,10,2025-10-08T14:21:00,present
66,142,6,10,2025-10-08T14:24:00,present
67,171,6,10,2025-10-08T14:30:00,present
68,183,6,10,2025-10-08T14:23:00,late
69,202,6,10,2025-10-08T14:16:00,late
70,239,6,10,2025-10-08T14:10:00,present
71,241,6,10,2025-10-08T14:04:00,absent
72,255,6,10,2025-10-08T14:11:00,present
73,271,6,10,2025-10-08T14:30:00,absent
74,300,6,10,2025-10-08T14:28:00,present
75,354,6,10,2025-10-08T14:21:00,present
76,387,6,10,2025-10-08T14:06:00,present
77,3,7,10,2025-10-15T12:19:00,late
78,52,7,10,2025-10-15T12:20:00,present
79,113,7,10,2025-10-15T12:03:00,present
80,142,7,10,2025-10-15T12:04:00,present
81,171,7,10,2025-10-15T12:09:00,present
82,183,7,10,2025-10-15T12:25:00,present
83,202,7,10,2025-10-15T12:02:00,present
84,239,7,10,2025-10-15T12:14:00,late
85,241,7,10,2025-10-15T12:29:00,present
86,255,7,10,2025-10-15T12:02:00,present
87,271,7,10,2025-10-15T12:11:00,present
88,300,7,10,2025-10-15T12:02:00,late
89,354,7,10,2025-10-15T12:24:00,late
90,387,7,10,2025-10-15T12:15:00,present
91,3,8,10,2025-10-22T08:24:00,present
92,10,8,10,2025-10-22T08:20:00,present
93,52,8,10,2025-10-22T08:30:00,present
94,142,8,10,2025-10-22T08:01:00,late
95,171,8,10,2025-10-22T08:09:00,present
96,183,8,10,2025-10-22T08:27:00,present
97,202,8,10,2025-10-22T08:21:00,present
98,241,8,10,2025-10-22T08:27:00,late
99,255,8,10,2025-10-22T08:10:00,present
100,271,8,10,2025-10-22T08:21:00,present
101,300,8,10,2025-10-22T08:14:00,present
102,354,8,10,2025-10-22T08:28:00,late
103,387,8,10,2025-10-22T08:01:00,present
104,3,9,10,2025-10-29T10:20:00,present
105,52,9,10,2025-10-29T10:22:00,present
106,113,9,10,2025-10-29T10:00:00,present
107,142,9,10,2025-10-29T10:03:00,present
108,171,9,10,2025-10-29T10:05:00,present
109,183,9,10,2025-10-29T10:27:00,present
110,239,9,10,2025-10-29T10:14:00,present
111,241,9,10,2025-10-29T10:11:00,present
112,255,9,10,2025-10-29T10:20:00,late
113,271,9,10,2025-10-29T10:26:00,present
114,300,9,10,2025-10-29T10:02:00,absent
115,354,9,10,2025-10-29T10:03:00,present
116,387,9,10,2025-10-29T10:29:00,present
117,4,10,3,2025-10-01T12:13:00,present
118,16,10,3,2025-10-01T12:10:00,present
119,75,10,3,2025-10-01T12:19:00,present
120,142,10,3,2025-10-01T12:22:00,present
121,166,10,3,2025-10-01T12:03:00,present
122,183,10,3,2025-10-01T12:01:00,late
123,239,10,3,2025-10-01T12:30:00,present
124,241,10,3,2025-10-01T12:20:00,late
125,300,10,3,2025-10-01T12:18:00,present
126,328,10,3,2025-10-01T12:12:00,present
127,4,11,3,2025-10-08T08:25:00,present
128,16,11,3,2025-10-08T08:15:00,present
129,51,11,3,2025-10-08T08:06:00,present
130,75,11,3,2025-10-08T08:30:00,present
131,142,11,3,2025-10-08T08:13:00,present
132,166,11,3,2025-10-08T08:20:00,present
133,183,11,3,2025-10-08T08:04:00,present
134,241,11,3,2025-10-08T08:09:00,absent
135,300,11,3,2025-10-08T08:14:00,late
136,310,11,3,2025-10-08T08:16:00,late
137,328,11,3,2025-10-08T08:28:00,late
138,387,11,3,2025-10-08T08:26:00,present
139,16,12,3,2025-10-15T14:13:00,present
140,51,12,3,2025-10-15T14:24:00,absent
141,75,12,3,2025-10-15T14:06:00,present
142,142,12,3,2025-10-15T14:13:00,present
143,166,12,3,2025-10-15T14:17:00,present
144,183,12,3,2025-10-15T14:05:00,present
145,239,12,3,2025-10-15T14:13:00,present
146,241,12,3,2025-10-15T14:22:00,late
147,300,12,3,2025-10-15T14:26:00,present
148,328,12,3,2025-10-15T14:19:00,present
149,387,12,3,2025-10-15T14:23:00,absent
150,4,13,3,2025-10-22T14:19:00,present
151,51,13,3,2025-10-22T14:26:00,present
152,75,13,3,2025-10-22T14:23:00,present
153,142,13,3,2025-10-22T14:23:00,present
154,166,13,3,2025-10-22T14:04:00,absent
155,183,13,3,2025-10-22T14:29:00,present
156,241,13,3,2025-10-22T14:03:00,late
157,300,13,3,2025-10-22T14:21:00,present
158,310,13,3,2025-10-22T14:16:00,absent
159,328,13,3,2025-10-22T14:14:00,late
160,387,13,3,2025-10-22T14:27:00,late
161,16,14,3,2025-10-29T14:18:00,present
162,75,14,3,2025-10-29T14:06:00,absent
163,142,14,3,2025-10-29T14:17:00,present
164,166,14,3,2025-10-29T14:19:00,present
165,183,14,3,2025-10-29T14:11:00,late
166,239,14,3,2025-10-29T14:06:00,present
167,241,14,3,2025-10-29T14:18:00,late
168,300,14,3,2025-10-29T14:11:00,present
169,310,14,3,2025-10-29T14:00:00,present
170,328,14,3,2025-10-29T14:09:00,present
171,387,14,3,2025-10-29T14:27:00,present
172,16,15,3,2025-11-05T10:14:00,present
173,51,15,3,2025-11-05T10:11:00,present
174,75,15,3,2025-11-05T10:17:00,present
175,142,15,3,2025-11-05T10:24:00,present
176,166,15,3,2025-11-05T10:29:00,present
177,183,15,3,2025-11-05T10:13:00,present
178,239,15,3,2025-11-05T10:17:00,present
179,241,15,3,2025-11-05T10:17:00,present
180,300,15,3,2025-11-05T10:09:00,present
181,310,15,3,2025-11-05T10:22:00,absent
182,328,15,3,2025-11-05T10:20:00,late
183,387,15,3,2025-11-05T10:19:00,present
184,4,16,3,2025-11-12T12:28:00,present
185,16,16,3,2025-11-12T12:02:00,late
186,51,16,3,2025-11-12T12:03:00,present
187,166,16,3,2025-11-12T12:03:00,present
188,183,16,3,2025-11-12T12:24:00,present
189,239,16,3,2025-11-12T12:17:00,late
190,300,16,3,2025-11-12T12:18:00,present
191,310,16,3,2025-11-12T12:21:00,present
192,328,16,3,2025-11-12T12:13:00,absent
193,387,16,3,2025-11-12T12:24:00,late
194,2,17,16,2025-10-01T14:12:00,present
195,10,17,16,2025-10-01T14:30:00,present
196,32,17,16,2025-10-01T14:29:00,late
197,51,17,16,2025-10-01T14:29:00,present
198,56,17,16,2025-10-01T14:22:00,present
199,62,17,16,2025-10-01T14:12:00,present
200,103,17,16,2025-10-01T14:07:00,absent
201,113,17,16,2025-10-01T14:08:00,present
202,142,17,16,2025-10-01T14:08:00,late
203,166,17,16,2025-10-01T14:28:00,late
204,183,17,16,2025-10-01T14:13:00,present
205,241,17,16,2025-10-01T14:00:00,present
206,251,17,16,2025-10-01T14:13:00,present
207,300,17,16,2025-10-01T14:26:00,present
208,310,17,16,2025-10-01T14:26:00,present
209,313,17,16,2025-10-01T14:10:00,late
210,2,18,16,2025-10-08T10:30:00,present
211,4,18,16,2025-10-08T10:13:00,late
212,10,18,16,2025-10-08T10:12:00,present
213,16,18,16,2025-10-08T10:20:00,present
214,32,18,16,2025-10-08T10:01:00,present
215,51,18,16,2025-10-08T10:18:00,present
216,56,18,16,2025-10-08T10:30:00,present
217,62,18,16,2025-10-08T10:23:00,present
218,94,18,16,2025-10-08T10:28:00,present
219,103,18,16,2025-10-08T10:05:00,present
220,113,18,16,2025-10-08T10:03:00,present
221,142,18,16,2025-10-08T10:04:00,present
222,166,18,16,2025-10-08T10:20:00,present
223,183,18,16,2025-10-08T10:12:00,absent
224,241,18,16,2025-10-08T10:20:00,present
225,251,18,16,2025-10-08T10:26:00,present
226,255,18,16,2025-10-08T10:30:00,present
227,284,18,16,2025-10-08T10:02:00,present
228,310,18,16,2025-10-08T10:20:00,present
229,313,18,16,2025-10-08T10:04:00,present
230,4,19,16,2025-10-15T08:29:00,present
231,10,19,16,2025-10-15T08:18:00,present
232,16,19,16,2025-10-15T08:23:00,present
233,32,19,16,2025-10-15T08:14:00,present
234,51,19,16,2025-10-15T08:24:00,present
235,56,19,16,2025-10-15T08:07:00,absent
236,62,19,16,2025-10-15T08:07:00,present
237,94,19,16,2025-10-15T08:17:00,present
238,103,19,16,2025-10-15T08:23:00,present
239,113,19,16,2025-10-15T08:25:00,present
240,142,19,16,2025-10-15T08:08:00,present
241,166,19,16,2025-10-15T08:08:00,present
242,255,19,16,2025-10-15T08:27:00,present
243,300,19,16,2025-10-15T08:19:00,present
244,2,20,16,2025-10-22T08:05:00,present
245,10,20,16,2025-10-22T08:11:00,present
246,16,20,16,2025-10-22T08:06:00,present
247,32,20,16,2025-10-22T08:15:00,present
248,51,20,16,2025-10-22T08:13:00,present
249,62,20,16,2025-10-22T08:02:00,late
250,94,20,16,2025-10-22T08:13:00,present
251,103,20,16,2025-10-22T08:10:00,present
252,113,20,16,2025-10-22T08:14:00,present
253,142,20,16,2025-10-22T08:05:00,absent
254,166,20,16,2025-10-22T08:28:00,present
255,183,20,16,2025-10-22T08:18:00,present
256,241,20,16,2025-10-22T08:27:00,present
257,255,20,16,2025-10-22T08:11:00,present
258,284,20,16,2025-10-22T08:19:00,present
259,300,20,16,2025-10-22T08:00:00,present
260,310,20,16,2025-10-22T08:23:00,late
261,313,20,16,2025-10-22T08:03:00,present
262,2,21,16,2025-10-29T08:00:00,present
263,4,21,16,2025-10-29T08:16:00,absent
264,10,21,16,2025-10-29T08:04:00,present
265,16,21,16,2025-10-29T08:11:00,present
266,51,21,16,2025-10-29T08:10:00,present
267,94,21,16,2025-10-29T08:04:00,present
268,103,21,16,2025-10-29T08:15:00,present
269,113,21,16,2025-10-29T08:02:00,absent
270,142,21,16,2025-10-29T08:17:00,present
271,166,21,16,2025-10-29T08:14:00,present
272,183,21,16,2025-10-29T08:15:00,present
273,241,21,16,2025-10-29T08:30:00,late
274,251,21,16,2025-10-29T08:06:00,absent
275,255,21,16,2025-10-29T08:06:00,late
276,284,21,16,2025-10-29T08:28:00,present
277,300,21,16,2025-10-29T08:30:00,present
278,310,21,16,2025-10-29T08:18:00,present
279,313,21,16,2025-10-29T08:18:00,present
280,2,22,16,2025-11-05T10:25:00,present
281,4,22,16,2025-11-05T10:23:00,present
282,10,22,16,2025-11-05T10:28:00,present
283,16,22,16,2025-11-05T10:19:00,present
284,32,22,16,2025-11-05T10:26:00,present
285,51,22,16,2025-11-05T10:03:00,present
286,56,22,16,2025-11-05T10:13:00,present
287,62,22,16,2025-11-05T10:11:00,present
288,94,22,16,2025-11-05T10:20:00,present
289,103,22,16,2025-11-05T10:14:00,late
290,113,22,16,2025-11-05T10:01:00,present
291,142,22,16,2025-11-05T10:08:00,present
292,166,22,16,2025-11-05T10:09:00,present
293,183,22,16,2025-11-05T10:28:00,absent
294,241,22,16,2025-11-05T10:30:00,present
295,251,22,16,2025-11-05T10:12:00,present
296,284,22,16,2025-11-05T10:10:00,present
297,300,22,16,2025-11-05T10:05:00,present
298,310,22,16,2025-11-05T10:02:00,present
299,313,22,16,2025-11-05T10:11:00,present
300,2,23,16,2025-11-12T10:24:00,absent
301,4,23,16,2025-11-12T10:00:00,present
302,10,23,16,2025-11-12T10:00:00,late
303,16,23,16,2025-11-12T10:06:00,present
304,32,23,16,2025-11-12T10:25:00,present
305,51,23,16,2025-11-12T10:07:00,absent
306,56,23,16,2025-11-12T10:12:00,present
307,62,23,16,2025-11-12T10:06:00,present
308,94,23,16,2025-11-12T10:03:00,present
309,103,23,16,2025-11-12T10:22:00,present
310,113,23,16,2025-11-12T10:28:00,present
311,142,23,16,2025-11-12T10:21:00,present
312,183,23,16,2025-11-12T10:13:00,present
313,241,23,16,2025-11-12T10:13:00,present
314,251,23,16,2025-11-12T10:10:00,present
315,255,23,16,2025-11-12T10:01:00,present
316,284,23,16,2025-11-12T10:15:00,present
317,310,23,16,2025-11-12T10:03:00,present
318,7,24,2,2025-10-01T10:10:00,present
319,34,24,2,2025-10-01T10:07:00,present
320,42,24,2,2025-10-01T10:09:00,late
321,64,24,2,2025-10-01T10:18:00,present
322,67,24,2,2025-10-01T10:29:00,present
323,72,24,2,2025-10-01T10:04:00,present
324,81,24,2,2025-10-01T10:12:00,present
325,90,24,2,2025-10-01T10:16:00,present
326,130,24,2,2025-10-01T10:02:00,late
327,135,24,2,2025-10-01T10:26:00,present
328,190,24,2,2025-10-01T10:23:00,late
329,211,24,2,2025-10-01T10:10:00,late
330,234,24,2,2025-10-01T10:12:00,late
331,298,24,2,2025-10-01T10:15:00,absent
332,317,24,2,2025-10-01T10:12:00,present
333,318,24,2,2025-10-01T10:14:00,present
334,377,24,2,2025-10-01T10:20:00,present
335,7,25,2,2025-10-08T08:03:00,present
336,34,25,2,2025-10-08T08:30:00,present
337,42,25,2,2025-10-08T08:00:00,present
338,44,25,2,2025-10-08T08:26:00,present
339,72,25,2,2025-10-08T08:22:00,present
340,81,25,2,2025-10-08T08:07:00,present
341,83,25,2,2025-10-08T08:06:00,present
342,90,25,2,2025-10-08T08:25:00,present
343,91,25,2,2025-10-08T08:28:00,late
344,130,25,2,2025-10-08T08:00:00,present
345,135,25,2,2025-10-08T08:27:00,present
346,211,25,2,2025-10-08T08:01:00,present
347,280,25,2,2025-10-08T08:02:00,present
